TRS_TYPE,NAMAOUTLET,TGL_INVC,NAMABARANG,QTYSALES
SALES,RAYA III.Ap,44604,NATURALLE GARLIC OIL 3000MG (BTL/100S),7
SALES,RAYA III.Ap,44604,NATURALLE TONGKAT ALI PLUS (BTL/60),2
SALES,PT. KALIMAS GLOBAL ASIA,44606,MAXITON SOFT CAP (BTL/30S),36
RETUR,PERDAGANGAN. Ap,44607,NATURALLE TONGKAT ALI PLUS (BTL/60),-6
RETUR,PERDAGANGAN.Ap,44607,NATURALLE GARLIC OIL 3000MG (BTL/100S),-1
RETUR,PERDAGANGAN.Ap,44607,NATURALLE EPO PLUS FISH OIL 500MG(BTL/30S),-7
RETUR,LAMHOT.Ap,44607,CHAMPS EMULSION (BTL/350ML),-2
RETUR,SINAR RAYA.Ap,44607,CHAMPS EMULSION (BTL/350ML),-5
RETUR,SINAR RAYA.Ap,44607,NATURALLE EPO PLUS FISH OIL 500MG(BTL/30S),-8
RETUR,ANDA.TO,44607,NATURALLE TONGKAT ALI PLUS (BTL/60),-1
SALES,TERANG FARMA.Ap,44607,CHAMPS VIT C 100MG (BTL/30),12
SALES,DIANA EVA NINGSIH.Am.keb.Bidan,44607,NATURALLE VIT E 250IU (BTL/30S),2
SALES,RAYA IV.Ap,44607,CHAMPS VIT C 100MG (BTL/30),12
SALES,RAYA IV.Ap,44607,NATURALLE BETA CAROTENE 6MG (BTL/30S),1
SALES,RAYA IV.Ap,44607,NATURALLE VIT E 250IU (BTL/30S),1
SALES,RAYA IV.Ap,44607,NATURALLE GARLIC OIL 3000MG (BTL/100S),1
SALES,SUSU NEW ASIA MANDIRI.Tk,44607,CHAMPS VIT C 100MG (BTL/30),12
RETUR,AL- BAROKAH. UD.,44608,NATURALLE TONGKAT ALI PLUS (BTL/60),-6
RETUR,AL- BAROKAH. UD.,44608,NATURALLE KACIP FATIMAH PLUS (BTL/60),-8
RETUR,AL- BAROKAH. UD.,44609,NATURALLE GARLIC OIL 3000MG (BTL/100S),-9
RETUR,AL- BAROKAH. UD.,44609,NATURALLE GARLIC OIL 3000MG (BTL/100S),0
RETUR,AL- BAROKAH. UD.,44609,NATURALLE EPO PLUS FISH OIL 500MG(BTL/30S),-5
RETUR,RAYA III.Ap,44609,NATURALLE GARLIC OIL 3000MG (BTL/100S),-4
SALES,RAYA III.Ap,44609,MAXITON SOFT CAP (BTL/30S),4
SALES,PT. KALIMAS GLOBAL ASIA,44609,CHAMPS VIT C 100MG (BTL/30),48
SALES,JAKARTA.Ap,44609,NATURALLE GARLIC OIL 3000MG (BTL/100S),7
SALES,LAMHOT.Ap,44609,CHAMPS VIT C 100MG (BTL/30),4
SALES,SERASI.Ap,44609,CHAMPS VIT C 100MG (BTL/30),36
SALES,MW RAMBUTAN 2.Ap,44609,MAXITON SOFT CAP (BTL/30S),1
RETUR,RAYA III.Ap,44610,NATURALLE TONGKAT ALI PLUS (BTL/60),-2
RETUR,RAYA III.Ap,44610,NATURALLE KACIP FATIMAH PLUS (BTL/60),-2
RETUR,RAYA III.Ap,44610,FLAVETTES VIT C WITH CALCIUM 1000 MG (BTL/30),-2
SALES,AGUNG.TO,44610,NATURALLE VIT E 250IU (BTL/30S),36
SALES,SINAR BINTANG.Ap,44610,CHAMPS VIT C 100MG (BTL/30),12
SALES,SINAR BINTANG.Ap,44610,NATURALLE FISH OIL 1000MG (BTL/60S),4
SALES,PT. KALIMAS GLOBAL ASIA,44610,CHAMPS VIT C 100MG (BTL/30),48
SALES,CAHAYA RAYA.Ap,44610,CHAMPS VIT C 100MG (BTL/30),12
SALES,BINTANG FARMA. CV,44611,NATURALLE VIT E 250IU (BTL/30S),40
SALES,BINTANG FARMA. CV,44611,NATURALLE TONGKAT ALI PLUS (BTL/60),4
SALES,BINTANG FARMA. CV,44611,NATURALLE KACIP FATIMAH PLUS (BTL/60),4
SALES,MITRA MULTI MARGA.PT,44611,CHAMPS VIT C 100MG (BTL/30),17
RETUR,SERASI.Ap,44613,CHAMPS EMULSION (BTL/350ML),-4
RETUR,SINAR BINTANG.Ap,44613,NATURALLE GARLIC OIL 3000MG (BTL/100S),-2
RETUR,SARINA.Tk,44613,CHAMPS MULTIVITAMIN PINNEAPLE (BTL/30),-1
RETUR,SARINA.Tk,44613,FLAVETTES VIT C WITH CALCIUM 1000 MG (BTL/30),-1
SALES,GUNA F.Ap,44613,MAXITON SOFT CAP (BTL/30S),1
SALES,PANCUR BATU.Ap,44613,CHAMPS VIT C 100MG (BTL/30),4
SALES,KASIH AGAPE.Ap,44613,MAXITON SOFT CAP (BTL/30S),1
SALES,BONA 1.Ap,44614,NATURALLE VIT E 250IU (BTL/30S),4
SALES,JASANTA.AP,44614,MAXITON SOFT CAP (BTL/30S),1
SALES,ANDA.TO,44615,CHAMPS VIT C 100MG (BTL/30),12
SALES,ANDA.TO,44615,MAXITON SOFT CAP (BTL/30S),12
SALES,BONA JAYA.AP,44615,NATURALLE FISH OIL 1000MG (BTL/60S),36
SALES,AGUNG.TO,44615,CHAMPS MULTIVITAMIN PINNEAPLE (BTL/30),24
SALES,AGUNG.TO,44615,CHAMPS VIT C 100MG (BTL/30),24
SALES,GANDA.Ap,44615,CHAMPS VIT C 100MG (BTL/30),12
SALES,SAMUDRA.Ap,44615,CHAMPS VIT C 100MG (BTL/30),48
SALES,SAMUDRA.Ap,44615,NATURALLE BETA CAROTENE 6MG (BTL/30S),24
SALES,PULAU INTAN.Ap,44615,MAXITON SOFT CAP (BTL/30S),1
SALES,GABE REJEKI.Ap,44615,CHAMPS VIT C 100MG (BTL/30),4
RETUR,MITRA MULTI MARGA.PT,44616,CHAMPS VIT C 100MG (BTL/30),-17
SALES,RAFIF FARMA.Ap,44616,MAXITON SOFT CAP (BTL/30S),1
SALES,BINTANG FARMA. CV,44616,NATURALLE FISH OIL 1000MG (BTL/60S),30
SALES,BINTANG FARMA. CV,44616,NATURALLE GARLIC OIL 3000MG (BTL/100S),30
SALES,ABADI JAYA AP,44617,CHAMPS VIT C 100MG (BTL/30),4
SALES,AGUNG.TO,44617,NATURALLE BETA CAROTENE 6MG (BTL/30S),24
SALES,AGUNG.TO,44617,NATURALLE TONGKAT ALI PLUS (BTL/60),24
SALES,RAYA VI.Ap,44617,CHAMPS VIT C 100MG (BTL/30),6
RETUR,PERDAGANGAN. Ap,44618,CHAMPS EMULSION (BTL/200ML),-9
SALES,PT. KALIMAS GLOBAL ASIA,44618,NATURALLE TONGKAT ALI PLUS (BTL/60),12
SALES,SAMUDRA.Ap,44618,CHAMPS MULTIVITAMIN PINNEAPLE (BTL/30),24
SALES,SAMUDRA.Ap,44618,MAXITON SOFT CAP (BTL/30S),48
SALES,SAMUDRA.Ap,44618,NATURALLE VIT E 250IU (BTL/30S),30
SALES,TANJUNG SARI.Ap,44618,CHAMPS VIT C 100MG (BTL/30),4
SALES,SAUDARA JAYA.Ap,44620,MAXITON SOFT CAP (BTL/30S),24
SALES,SAUDARA JAYA.Ap,44620,NATURALLE FISH OIL 1000MG (BTL/60S),12
SALES,SAUDARA JAYA.Ap,44620,NATURALLE TONGKAT ALI PLUS (BTL/60),12
SALES,SAUDARA JAYA.Ap,44620,NATURALLE KACIP FATIMAH PLUS (BTL/60),12
SALES,AL- BAROKAH. UD.,44620,NATURALLE GARLIC OIL 3000MG (BTL/100S),24
SALES,PT. KALIMAS GLOBAL ASIA,44620,MAXITON SOFT CAP (BTL/30S),60
SALES,BONA JAYA.AP,44620,NATURALLE VIT E 250IU (BTL/30S),36
SALES,BONA JAYA.AP,44620,NATURALLE KACIP FATIMAH PLUS (BTL/60),4
SALES,SARI GUNUNG.Ap,44620,CHAMPS MULTIVITAMIN PINNEAPLE (BTL/30),48
SALES,SARI GUNUNG.Ap,44620,CHAMPS VIT C 100MG (BTL/30),48
SALES,SARI GUNUNG.Ap,44620,MAXITON SOFT CAP (BTL/30S),30
SALES,SARI GUNUNG.Ap,44620,NATURALLE BETA CAROTENE 6MG (BTL/30S),24
SALES,SARI GUNUNG.Ap,44620,NATURALLE VIT E 250IU (BTL/30S),24
SALES,SARI GUNUNG.Ap,44620,NATURALLE FISH OIL 1000MG (BTL/60S),24
SALES,SARI GUNUNG.Ap,44620,NATURALLE GARLIC OIL 3000MG (BTL/100S),24
SALES,VITA SARI.Ap,44620,CHAMPS MULTIVITAMIN PINNEAPLE (BTL/30),48
SALES,VITA SARI.Ap,44620,CHAMPS VIT C 100MG (BTL/30),72
SALES,VITA SARI.Ap,44620,MAXITON SOFT CAP (BTL/30S),72
SALES,VITA SARI.Ap,44620,NATURALLE VIT E 250IU (BTL/30S),36
SALES,VITA SARI.Ap,44620,NATURALLE FISH OIL 1000MG (BTL/60S),36
SALES,VITA SARI.Ap,44620,NATURALLE GARLIC OIL 3000MG (BTL/100S),24
SALES,FATIMAH ALI 2.Klinik,44622,CHAMPS VIT C 100MG (BTL/30),4
SALES,SAUDARA.Ap,44624,CHAMPS VIT C 100MG (BTL/30),4
SALES,BIDAN NATALIA BR GIRSANG  TO SUMBER SEHAT,44625,CHAMPS VIT C 100MG (BTL/30),4
SALES,BIDAN NATALIA BR GIRSANG  TO SUMBER SEHAT,44625,NATURALLE VIT E 250IU (BTL/30S),1
SALES,RAYA IV.Ap,44627,CHAMPS VIT C 100MG (BTL/30),12
SALES,MITRA.Ap,44627,NATURALLE FISH OIL 1000MG (BTL/60S),1
SALES,PHALMA AGUNG.Ap,44628,CHAMPS VIT C 100MG (BTL/30),12
SALES,RAYA IV.Ap,44628,NATURALLE VIT E 250IU (BTL/30S),1
SALES,RAYA IV.Ap,44628,NATURALLE GARLIC OIL 3000MG (BTL/100S),1
RETUR,SAMUDRA.Ap,44629,NATURALLE EPO PLUS FISH OIL 500MG(BTL/30S),-24
RETUR,SAMUDRA.Ap,44629,NATURALLE EPO PLUS FISH OIL 500MG(BTL/30S),0
RETUR,SAMUDRA.Ap,44629,NATURALLE EPO PLUS FISH OIL 500MG(BTL/30S),-24
RETUR,SAMUDRA.Ap,44629,NATURALLE EPO PLUS FISH OIL 500MG(BTL/30S),0
RETUR,SAMUDRA.Ap,44629,NATURALLE EPO PLUS FISH OIL 500MG(BTL/30S),-4
RETUR,SAMUDRA.Ap,44629,NATURALLE GARLIC OIL 3000MG (BTL/100S),-15
RETUR,SAMUDRA.Ap,44629,CHAMPS EMULSION (BTL/350ML),-2
RETUR,SAMUDRA.Ap,44629,NATURALLE TONGKAT ALI PLUS (BTL/60),-11
RETUR,SAMUDRA.Ap,44629,NATURALLE KACIP FATIMAH PLUS (BTL/60),-9
RETUR,WULAN SARI.AP,44629,CHAMPS MULTIVITAMIN PINNEAPLE (BTL/30),-1
RETUR,WULAN SARI.AP,44629,FLAVETTES VIT C WITH CALCIUM 1000 MG (BTL/30),-1
RETUR,SAQINA.Swalayan,44629,CHAMPS MULTIVITAMIN PINNEAPLE (BTL/30),-1
RETUR,SAQINA.Swalayan,44629,FLAVETTES VIT C WITH CALCIUM 1000 MG (BTL/30),-1
SALES,BINTANG FARMA. CV,44629,CHAMPS MULTIVITAMIN PINNEAPLE (BTL/30),72
SALES,BINTANG FARMA. CV,44629,CHAMPS VIT C 100MG (BTL/30),32
SALES,SAUDARA BARU.Ap,44629,NATURALLE KACIP FATIMAH PLUS (BTL/60),12
SALES,TIMOTY.Ap,44629,NATURALLE GARLIC OIL 3000MG (BTL/100S),4
RETUR,KASIH AGAPE.Ap,44630,CHAMPS EMULSION (BTL/200ML),-2
RETUR,AL- BAROKAH. UD.,44630,NATURALLE GARLIC OIL 3000MG (BTL/100S),-7
RETUR,AL- BAROKAH. UD.,44630,NATURALLE GARLIC OIL 3000MG (BTL/100S),0
RETUR,AL- BAROKAH. UD.,44630,NATURALLE TONGKAT ALI PLUS (BTL/60),-1
RETUR,AL- BAROKAH. UD.,44630,NATURALLE KACIP FATIMAH PLUS (BTL/60),-1
RETUR,SARI GUNUNG.Ap,44630,NATURALLE KACIP FATIMAH PLUS (BTL/60),-5
RETUR,SARI GUNUNG.Ap,44630,NATURALLE TONGKAT ALI PLUS (BTL/60),-1
SALES,SAUDARA JAYA.Ap,44630,CHAMPS MULTIVITAMIN PINNEAPLE (BTL/30),1
SALES,SAUDARA JAYA.Ap,44630,CHAMPS MULTIVITAMIN PINNEAPLE (BTL/30),23
SALES,SAUDARA JAYA.Ap,44630,NATURALLE VIT E 250IU (BTL/30S),12
SALES,CAHAYA RAYA.Ap,44630,NATURALLE GARLIC OIL 3000MG (BTL/100S),6
RETUR,GAMA.Ap,44631,MAXITON SOFT CAP (BTL/30S),-1
RETUR,MEDI FARMA.Ap,44631,CHAMPS MULTIVITAMIN PINNEAPLE (BTL/30),-1
RETUR,MEDI FARMA.Ap,44631,FLAVETTES VIT C WITH CALCIUM 1000 MG (BTL/30),-1
RETUR,SEHATI JAYA.Ap,44631,FLAVETTES VIT C WITH CALCIUM 1000 MG (BTL/30),-1
RETUR,NORA.Ap,44631,CHAMPS MULTIVITAMIN PINNEAPLE (BTL/30),-1
RETUR,NORA.Ap,44631,FLAVETTES VIT C WITH CALCIUM 1000 MG (BTL/30),-1
RETUR,SANA BARU.Ap,44631,CHAMPS MULTIVITAMIN PINNEAPLE (BTL/30),-1
RETUR,SANA BARU.Ap,44631,FLAVETTES VIT C WITH CALCIUM 1000 MG (BTL/30),-1
SALES,EVA HUTAHAEAN.Bidan,44631,NATURALLE GARLIC OIL 3000MG (BTL/100S),24
SALES,WATIYEM.Bidan,44631,CHAMPS MULTIVITAMIN PINNEAPLE (BTL/30),1
SALES,WATIYEM.Bidan,44631,NATURALLE GARLIC OIL 3000MG (BTL/100S),1
SALES,VITA SARI.Ap,44632,MAXITON SOFT CAP (BTL/30S),72
SALES,dr. Silvia Karlia. Prtk.,44632,CHAMPS MULTIVITAMIN PINNEAPLE (BTL/30),1
SALES,dr. Silvia Karlia. Prtk.,44632,NATURALLE VIT E 250IU (BTL/30S),1
SALES,BINTANG FARMA. CV,44632,NATURALLE BETA CAROTENE 6MG (BTL/30S),24
SALES,BINTANG FARMA. CV,44632,NATURALLE GARLIC OIL 3000MG (BTL/100S),24
